"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Kamal A.S.M.M.; Fahim A.K.F.; Shahid S.","Kamal, A. S. M. Maksud (58312833100); Fahim, Abul Kashem Faruki (57575793700); Shahid, Shamsuddin (57195934440)","58312833100; 57575793700; 57195934440","Changes in wet bulb globe temperature and risk to heat-related hazards in Bangladesh","2024","Scientific Reports","14","1","10417","","","","0","10.1038/s41598-024-61138-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192171803&doi=10.1038%2fs41598-024-61138-8&partnerID=40&md5=873e19c2e01968544d7bea61a7c9d8e7","Department of Disaster Science and Climate Resilience, University of Dhaka, Dhaka, 1000, Bangladesh; Department of Water and Environmental Engineering, Faculty of Civil Engineering, Universiti Teknologi Malaysia, Johor Bahru, 81310, Malaysia","Kamal A.S.M.M., Department of Disaster Science and Climate Resilience, University of Dhaka, Dhaka, 1000, Bangladesh; Fahim A.K.F., Department of Disaster Science and Climate Resilience, University of Dhaka, Dhaka, 1000, Bangladesh; Shahid S., Department of Water and Environmental Engineering, Faculty of Civil Engineering, Universiti Teknologi Malaysia, Johor Bahru, 81310, Malaysia","A.S.M.M. Kamal; Department of Disaster Science and Climate Resilience, University of Dhaka, Dhaka, 1000, Bangladesh; email: maksudkamal@du.ac.bd; S. Shahid; Department of Water and Environmental Engineering, Faculty of Civil Engineering, Universiti Teknologi Malaysia, Johor Bahru, 81310, Malaysia; email: sshahid@utm.my","","Nature Research","20452322","","","38710893","English","Sci. Rep.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85192171803"
"Le P.T.D.; Fischer A.M.","Le, Phuc Tran Duy (58723617600); Fischer, Andrew M. (24758050100)","58723617600; 24758050100","Trends and patterns of SST and associated frontal frequency in the Vietnamese upwelling center","2021","Journal of Marine Systems","222","","103600","","","","3","10.1016/j.jmarsys.2021.103600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109387371&doi=10.1016%2fj.jmarsys.2021.103600&partnerID=40&md5=426bf007335bcad06a6e22b995ff903c","Department of Oceanology, Meteorology and Hydrology, University of Science, Vietnam National University, 227 Nguyen Van Cu Street, Ward 4, District 5, Ho Chi Minh City, Viet Nam; Institute for Marine and Antarctic Studies (IMAS), University of Tasmania, IMAS Science Building, S256, Newnham, 7248, TAS, Australia","Le P.T.D., Department of Oceanology, Meteorology and Hydrology, University of Science, Vietnam National University, 227 Nguyen Van Cu Street, Ward 4, District 5, Ho Chi Minh City, Viet Nam; Fischer A.M., Institute for Marine and Antarctic Studies (IMAS), University of Tasmania, IMAS Science Building, S256, Newnham, 7248, TAS, Australia","P.T.D. Le; Department of Oceanology, Meteorology and Hydrology, University of Science, Vietnam National University, Ho Chi Minh City, 227 Nguyen Van Cu Street, Ward 4, District 5, Viet Nam; email: ltdphuc@hcmus.edu.vn","","Elsevier B.V.","09247963","","JMASE","","English","J. Mar. Syst.","Article","Final","","Scopus","2-s2.0-85109387371"
"Nguyen C.T.; Chidthaisong A.; Limsakul A.; Varnakovida P.; Ekkawatpanit C.; Diem P.K.; Diep N.T.H.","Nguyen, Can Trong (57189026531); Chidthaisong, Amnat (6603142284); Limsakul, Atsamon (8780615700); Varnakovida, Pariwate (14032303000); Ekkawatpanit, Chaiwat (33567804200); Diem, Phan Kieu (57188872546); Diep, Nguyen Thi Hong (55355277800)","57189026531; 6603142284; 8780615700; 14032303000; 33567804200; 57188872546; 55355277800","How do disparate urbanization and climate change imprint on urban thermal variations? A comparison between two dynamic cities in Southeast Asia","2022","Sustainable Cities and Society","82","","103882","","","","28","10.1016/j.scs.2022.103882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128171071&doi=10.1016%2fj.scs.2022.103882&partnerID=40&md5=c3701f1b18c2cd260c6a12c8b60a5588","The Joint Graduate School of Energy and Environment, King Mongkut's University of Technology Thonburi (KMUTT), Bangkok, 10140, Thailand; Center of Excellence on Energy Technology and Environment (CEE), PERDO, Ministry of Higher Education, Science, Research and Innovation, Bangkok, 10140, Thailand; Environmental Research and Training Center, Technopolis, Klong 5, Klong Luang, Pathumthani, 12120, Thailand; KMUTT Geospatial Engineering and Innovation Center (KGEO), Department of Mathematics, Faculty of Science, King Mongkut's University of Technology Thonburi (KMUTT), Bangkok, 10140, Thailand; Civil Engineering Department, Faculty of Engineering, King Mongkut's University of Technology Thonburi (KMUTT), Bangkok, 10140, Thailand; College of Environment and Natural Resources, Can Tho University, Can Tho City, Viet Nam","Nguyen C.T., The Joint Graduate School of Energy and Environment, King Mongkut's University of Technology Thonburi (KMUTT), Bangkok, 10140, Thailand, Center of Excellence on Energy Technology and Environment (CEE), PERDO, Ministry of Higher Education, Science, Research and Innovation, Bangkok, 10140, Thailand; Chidthaisong A., The Joint Graduate School of Energy and Environment, King Mongkut's University of Technology Thonburi (KMUTT), Bangkok, 10140, Thailand, Center of Excellence on Energy Technology and Environment (CEE), PERDO, Ministry of Higher Education, Science, Research and Innovation, Bangkok, 10140, Thailand; Limsakul A., Environmental Research and Training Center, Technopolis, Klong 5, Klong Luang, Pathumthani, 12120, Thailand; Varnakovida P., KMUTT Geospatial Engineering and Innovation Center (KGEO), Department of Mathematics, Faculty of Science, King Mongkut's University of Technology Thonburi (KMUTT), Bangkok, 10140, Thailand; Ekkawatpanit C., Civil Engineering Department, Faculty of Engineering, King Mongkut's University of Technology Thonburi (KMUTT), Bangkok, 10140, Thailand; Diem P.K., College of Environment and Natural Resources, Can Tho University, Can Tho City, Viet Nam; Diep N.T.H., College of Environment and Natural Resources, Can Tho University, Can Tho City, Viet Nam","C.T. Nguyen; Thung Khru, 126 Pracha Uthit Rd., Bangmod, Bangkok, 10140, Thailand; email: can.62300800201@mail.kmutt.ac.th","","Elsevier Ltd","22106707","","","","English","Sustainable Cities Soc.","Article","Final","","Scopus","2-s2.0-85128171071"
"Chan S.H.M.; Ong D.R.Y.; Williams G.A.; Crickenberger S.; Loke L.H.L.; Todd P.A.","Chan, Shelley H.M. (57207035063); Ong, Denise R.Y. (57557634100); Williams, Gray A. (7406082821); Crickenberger, Sam (55745969600); Loke, Lynette H.L. (56152357100); Todd, Peter A. (7102895909)","57207035063; 57557634100; 7406082821; 55745969600; 56152357100; 7102895909","Behaviour broadens thermal safety margins on artificial coastal defences in the tropics","2022","Marine Environmental Research","177","","105618","","","","4","10.1016/j.marenvres.2022.105618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127647189&doi=10.1016%2fj.marenvres.2022.105618&partnerID=40&md5=628e2753db4ad79d5e549225029414db","Experimental Marine Ecology Laboratory, Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, 117557, Singapore; The Swire Institute of Marine Science and School of Biological Sciences, The University of Hong Kong, Pokfulam Road, Hong Kong","Chan S.H.M., Experimental Marine Ecology Laboratory, Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, 117557, Singapore; Ong D.R.Y., Experimental Marine Ecology Laboratory, Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, 117557, Singapore; Williams G.A., The Swire Institute of Marine Science and School of Biological Sciences, The University of Hong Kong, Pokfulam Road, Hong Kong; Crickenberger S., The Swire Institute of Marine Science and School of Biological Sciences, The University of Hong Kong, Pokfulam Road, Hong Kong; Loke L.H.L., Experimental Marine Ecology Laboratory, Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, 117557, Singapore; Todd P.A., Experimental Marine Ecology Laboratory, Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, 117557, Singapore","P.A. Todd; Experimental Marine Ecology Laboratory, Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, 117557, Singapore; email: dbspat@nus.edu.sg","","Elsevier Ltd","01411136","","MERSD","35405423","English","Mar. Environ. Res.","Article","Final","","Scopus","2-s2.0-85127647189"
"Amnuaylojaroen T.; Parasin N.","Amnuaylojaroen, Teerachai (55505265100); Parasin, Nichapa (57226281159)","55505265100; 57226281159","The Future Extreme Temperature under RCP8.5 Reduces the Yields of Major Crops in Northern Peninsular of Southeast Asia","2022","Scientific World Journal","2022","","1410849","","","","8","10.1155/2022/1410849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127968022&doi=10.1155%2f2022%2f1410849&partnerID=40&md5=278c53e5d046eb87d2675dfe7ed6d027","Department Of Environmental Science, School Of Energy And Environment, University Of Phayao, Phayao, 56000, Thailand; Atmospheric Pollution And Climate Change Research Unit, School Of Energy And Environment, University Of Phayao, Phayao, 56000, Thailand; School Of Allied Health Science, University Of Phayao, Phayao, 56000, Thailand","Amnuaylojaroen T., Department Of Environmental Science, School Of Energy And Environment, University Of Phayao, Phayao, 56000, Thailand, Atmospheric Pollution And Climate Change Research Unit, School Of Energy And Environment, University Of Phayao, Phayao, 56000, Thailand; Parasin N., School Of Allied Health Science, University Of Phayao, Phayao, 56000, Thailand","T. Amnuaylojaroen; Department Of Environmental Science, School Of Energy And Environment, University Of Phayao, Phayao, 56000, Thailand; email: teerachai4@gmail.com","","Hindawi Limited","23566140","","","35401057","English","Sci. World J.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127968022"
"Yuan C.; Adelia A.S.; Mei S.; He W.; Li X.-X.; Norford L.","Yuan, Chao (36931983000); Adelia, Ayu Sukma (57205416301); Mei, Shuojun (56723522500); He, Wenhui (57216353813); Li, Xian-Xiang (54400276300); Norford, Leslie (7004632109)","36931983000; 57205416301; 56723522500; 57216353813; 54400276300; 7004632109","Mitigating intensity of urban heat island by better understanding on urban morphology and anthropogenic heat dispersion","2020","Building and Environment","176","","106876","","","","104","10.1016/j.buildenv.2020.106876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083251810&doi=10.1016%2fj.buildenv.2020.106876&partnerID=40&md5=91bde3f18238f4126f3b2cdc7ada8b80","Department of Architecture, National University of Singapore, Singapore; School of Atmospheric Sciences, Sun Yat-sen University, Guangdong, China; Department of Architecture, Massachusetts Institute of Technology, MA, United States; Southern Marine Science and Engineering Guangdong Laboratory, Zhuhai, China; Guangdong Province Key Laboratory for Climate Change and Natural Disaster Studies, Sun Yat-sen University, China","Yuan C., Department of Architecture, National University of Singapore, Singapore; Adelia A.S., Department of Architecture, National University of Singapore, Singapore; Mei S., Department of Architecture, National University of Singapore, Singapore; He W., Department of Architecture, National University of Singapore, Singapore; Li X.-X., School of Atmospheric Sciences, Sun Yat-sen University, Guangdong, China, Southern Marine Science and Engineering Guangdong Laboratory, Zhuhai, China, Guangdong Province Key Laboratory for Climate Change and Natural Disaster Studies, Sun Yat-sen University, China; Norford L., Department of Architecture, Massachusetts Institute of Technology, MA, United States","C. Yuan; Department of Architecture, National University of Singapore, Singapore; email: akiyuan@nus.edu.sg","","Elsevier Ltd","03601323","","BUEND","","English","Build. Environ.","Article","Final","","Scopus","2-s2.0-85083251810"
"Ooi M.C.G.; Chan A.; Latif M.T.; Lin N.-H.; Li L.","Ooi, Maggie Chel Gee (56651963800); Chan, Andy (57791658500); Latif, Mohd Talib (57218373467); Lin, Neng-huei (7202485447); Li, Li (57142818500)","56651963800; 57791658500; 57218373467; 7202485447; 57142818500","Wildfires, haze, and climate change","2022","Handbook of Energy and Environmental Security","","","","183","205","22","0","10.1016/B978-0-12-824084-7.00013-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137895618&doi=10.1016%2fB978-0-12-824084-7.00013-8&partnerID=40&md5=4b2994a23d5ced35727be6870bc60315","Institute of Climate Change, Universiti Kebangsaan Malaysia (UKM), Selangor, Bangi, Malaysia; Department of Civil Engineering, University of Nottingham Malaysia, Selangor, Semenyih, Malaysia; Department of Earth Sciences and Environment, Faculty of Science and Technology, Universiti Kebangsaan Malaysia (UKM), Selangor, Bangi, Malaysia; Department of Atmospheric Sciences, National Central University, Taoyuan, Zhongli District, Taiwan; Center for Environmental Monitoring Technology, National Central University, Taoyuan, Zhongli District, Taiwan; School of Environmental and Chemical Engineering, Shanghai University, Shanghai, Baoshan, China","Ooi M.C.G., Institute of Climate Change, Universiti Kebangsaan Malaysia (UKM), Selangor, Bangi, Malaysia; Chan A., Department of Civil Engineering, University of Nottingham Malaysia, Selangor, Semenyih, Malaysia; Latif M.T., Department of Earth Sciences and Environment, Faculty of Science and Technology, Universiti Kebangsaan Malaysia (UKM), Selangor, Bangi, Malaysia; Lin N.-H., Department of Atmospheric Sciences, National Central University, Taoyuan, Zhongli District, Taiwan, Center for Environmental Monitoring Technology, National Central University, Taoyuan, Zhongli District, Taiwan; Li L., School of Environmental and Chemical Engineering, Shanghai University, Shanghai, Baoshan, China","","","Elsevier Inc.","","978-012824084-7; 978-012824085-4","","","English","Handb. of Energy and Environmental Security","Book chapter","Final","","Scopus","2-s2.0-85137895618"
"Banerjee S.; Pek R.X.Y.; Yik S.K.; Ching G.N.; Ho X.T.; Dzyuban Y.; Crank P.J.; Acero J.A.; Chow W.T.L.","Banerjee, Shreya (57212205021); Pek, Rachel Xin Yi (57919247200); Yik, Sin Kang (57740748200); Ching, Graces Ny (57740589100); Ho, Xiang Tian (58942515500); Dzyuban, Yuliya (57221520334); Crank, Peter J. (57203780668); Acero, Juan A. (55375500700); Chow, Winston T.L. (15519380100)","57212205021; 57919247200; 57740748200; 57740589100; 58942515500; 57221520334; 57203780668; 55375500700; 15519380100","Assessing impact of urban densification on outdoor microclimate and thermal comfort using ENVI-met simulations for Combined Spatial-Climatic Design (CSCD) approach","2024","Sustainable Cities and Society","105","","105302","","","","2","10.1016/j.scs.2024.105302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187960888&doi=10.1016%2fj.scs.2024.105302&partnerID=40&md5=415431226cd6fef7cf0598ff803210a1","Center for Emerging Technologies for Sustainable Development (CETSD), Indian Institute of Technology Jodhpur (IIT Jodhpur), Karwar, Rajasthan, India; College of Integrative Studies, Singapore Management University, Singapore, Singapore; Graduate Center for Planning and the Environment, School of Architecture, Pratt Institute, Brooklyn, NY, United States; Department of Geography and Environmental Management, University of Waterloo, Canada; CENSAM, Singapore-MIT Alliance for Research and Technology (SMART), Singapore, Singapore; Urban Institute, Singapore Management University, Singapore, Singapore","Banerjee S., Center for Emerging Technologies for Sustainable Development (CETSD), Indian Institute of Technology Jodhpur (IIT Jodhpur), Karwar, Rajasthan, India, College of Integrative Studies, Singapore Management University, Singapore, Singapore; Pek R.X.Y., College of Integrative Studies, Singapore Management University, Singapore, Singapore; Yik S.K., College of Integrative Studies, Singapore Management University, Singapore, Singapore; Ching G.N., College of Integrative Studies, Singapore Management University, Singapore, Singapore; Ho X.T., College of Integrative Studies, Singapore Management University, Singapore, Singapore; Dzyuban Y., Graduate Center for Planning and the Environment, School of Architecture, Pratt Institute, Brooklyn, NY, United States; Crank P.J., Department of Geography and Environmental Management, University of Waterloo, Canada; Acero J.A., CENSAM, Singapore-MIT Alliance for Research and Technology (SMART), Singapore, Singapore; Chow W.T.L., College of Integrative Studies, Singapore Management University, Singapore, Singapore, Urban Institute, Singapore Management University, Singapore, Singapore","S. Banerjee; Center for Emerging Technologies for Sustainable Development (CETSD), Indian Institute of Technology Jodhpur (IIT Jodhpur), Karwar, Rajasthan, India; email: shreyab@iitj.ac.in","","Elsevier Ltd","22106707","","","","English","Sustainable Cities Soc.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85187960888"
"Amnuaylojaroen T.; Parasin N.; Limsakul A.","Amnuaylojaroen, Teerachai (55505265100); Parasin, Nichapa (57226281159); Limsakul, Atsamon (8780615700)","55505265100; 57226281159; 8780615700","Projections and patterns of heat-related mortality impacts from climate change in Southeast Asia","2024","Environmental Research Communications","6","3","035019","","","","0","10.1088/2515-7620/ad3128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188138078&doi=10.1088%2f2515-7620%2fad3128&partnerID=40&md5=2f88d494e5bddae341526f28716be2f7","School of Energy and Environment, University of Phayao, Phayao, 56000, Thailand; Atmospheric Pollution and Climate Research Unit, School of Energy and Environment, University of Phayao, Phayao, 56000, Thailand; School of Allied Health Science, University of Phayao, Phayao, 56000, Thailand; Department of Climate Change and Environment, Climate Change and Environmental Research Center (CERC), Pathum Thani, 12120, Thailand","Amnuaylojaroen T., School of Energy and Environment, University of Phayao, Phayao, 56000, Thailand, Atmospheric Pollution and Climate Research Unit, School of Energy and Environment, University of Phayao, Phayao, 56000, Thailand; Parasin N., School of Allied Health Science, University of Phayao, Phayao, 56000, Thailand; Limsakul A., Department of Climate Change and Environment, Climate Change and Environmental Research Center (CERC), Pathum Thani, 12120, Thailand","T. Amnuaylojaroen; School of Energy and Environment, University of Phayao, Phayao, 56000, Thailand; email: teerachai4@gmail.com","","Institute of Physics","25157620","","","","English","Environ. Res. Commun.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188138078"
"Tran D.N.; Doan V.Q.; Nguyen V.T.; Khan A.; Thai P.K.; Cunrui H.; Chu C.; Schak E.; Phung D.","Tran, Dang Ngoc (56176864100); Doan, Van Quang (57203166987); Nguyen, Vien Truong (57215419522); Khan, Ansar (57190342598); Thai, Phong K. (57197775331); Cunrui, Huang (36801501900); Chu, Cordia (56435044600); Schak, Elena (57205725100); Phung, Dung (55615807500)","56176864100; 57203166987; 57215419522; 57190342598; 57197775331; 36801501900; 56435044600; 57205725100; 55615807500","Spatial patterns of health vulnerability to heatwaves in Vietnam","2020","International Journal of Biometeorology","64","5","","863","872","9","16","10.1007/s00484-020-01876-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080864226&doi=10.1007%2fs00484-020-01876-2&partnerID=40&md5=ee43a8037a4183587f7793c8ee96f82e","The Institute of Research and Development, Duy Tan University, Da Nang, Viet Nam; Department of Environmental Health, University of Medicine and Pharmacy at Ho Chi Minh City, Ho Chi Minh, Viet Nam; Centre for Computational Sciences, the University of Tsukuba, Tsukuba, 305-8577, Ibaraki, Japan; Department of Geography, Lalbaba College, Howrah, India; Queensland Alliance for Environmental Health Sciences, The University of Queensland, Brisbane, 4102, QLD, Australia; Health Management and Policy, School of Public Health, Sun Yat-Sen University, Guangzhou, Guangdong Province, China; Centre for Environment and Population Health, School of Medicine, Griffith University, Brisbane, Australia; School of Medicine, Griffith University, Gold Coast campus, Parklands Drive, Southport, 4222, QLD, Australia","Tran D.N., The Institute of Research and Development, Duy Tan University, Da Nang, Viet Nam, Department of Environmental Health, University of Medicine and Pharmacy at Ho Chi Minh City, Ho Chi Minh, Viet Nam; Doan V.Q., Centre for Computational Sciences, the University of Tsukuba, Tsukuba, 305-8577, Ibaraki, Japan; Nguyen V.T., Department of Environmental Health, University of Medicine and Pharmacy at Ho Chi Minh City, Ho Chi Minh, Viet Nam; Khan A., Department of Geography, Lalbaba College, Howrah, India; Thai P.K., Queensland Alliance for Environmental Health Sciences, The University of Queensland, Brisbane, 4102, QLD, Australia; Cunrui H., Health Management and Policy, School of Public Health, Sun Yat-Sen University, Guangzhou, Guangdong Province, China; Chu C., Centre for Environment and Population Health, School of Medicine, Griffith University, Brisbane, Australia; Schak E., Centre for Environment and Population Health, School of Medicine, Griffith University, Brisbane, Australia; Phung D., Centre for Environment and Population Health, School of Medicine, Griffith University, Brisbane, Australia, School of Medicine, Griffith University, Gold Coast campus, Parklands Drive, Southport, 4222, QLD, Australia","D. Phung; School of Medicine, Griffith University, Southport, Gold Coast campus, Parklands Drive, 4222, Australia; email: d.phung@griffith.edu.au","","Springer","00207128","","IJBMA","32086569","English","Int. J. Biometeorol.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85080864226"
