,Title,Authors,Journal,Year,DOI,Source,Publications,Yes No
0,the effects of maximum ambient temperature and heatwaves on dengue infections in the tropical city-state of singapore - a time series analysis,"Seah, A",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.145117,WoS,9,0
1,"abnormal ambient temperature change increases the risk of out-of-hospital cardiac arrest: a systematic review and meta-analysis of exposure types, risk, and vulnerable populations","Wu, QY",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2022.160554,WoS,9,1
2,anthropogenic climate change exacerbates the risk of successive flood-heat extremes: multi-model global projections based on the inter-sectoral impact model intercomparison project,"Zhou, J",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2023.164274,WoS,9,0
3,"immediate and delayed effects of a heatwave and<i> prorocentrum</i><i> lima</i> ((ehrenberg) stein 1878) bloom on the toxin accumulation, physiology, and survival of the oyster<i> magallana</i><i> gigas</i> (thunberg, 1793)","Funesto, EGM",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2023.164485,WoS,9,0
4,"perceptions of heat-health impacts and the effects of knowledge and preventive actions by outdoor workers in hanoi, vietnam","Lohrey, S",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.148260,WoS,9,0
5,environmental heat-related health symptoms among community in a tropical city,"Aghamohammadi, N",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.146611,WoS,9,0
6,geographical disparities in the impacts of heat on diabetes mortality and the protective role of greenness in thailand: a nationwide case-crossover analysis,"He, YL",SCIENCE OF THE TOTAL ENVIRONMENT,2020,10.1016/j.scitotenv.2019.135098,WoS,9,0
7,evidence of alliesthesia during a neighborhood thermal walk in a hot and dry city,"Dzyuban, Y",SCIENCE OF THE TOTAL ENVIRONMENT,2022,10.1016/j.scitotenv.2022.155294,WoS,9,0
8,environmental impacts and greenhouse gas emissions assessment for energy recovery and material recycle of the wastewater treatment plant,"Nguyen, TKL",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.147135,WoS,9,0
9,employing gridded-based dataset for heatwave assessment and future projection in peninsular malaysia,"Sa'adi, Z",THEORETICAL AND APPLIED CLIMATOLOGY,2024,10.1007/s00704-024-04946-2,WoS,9,1
10,appraising the historical and projected spatiotemporal changes in the heat index in bangladesh,"Rahman, MB",THEORETICAL AND APPLIED CLIMATOLOGY,2021,10.1007/s00704-021-03705-x,WoS,9,0
11,spatiotemporal trends of temperature extremes in bangladesh under changing climate using multi-statistical techniques,"Mallick, J",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-021-03828-1,WoS,9,0
12,the unsung role of sst in simulating mesoscale events: an evaluation of august 2018 extreme rainfall over kerala using wrf model,"Thomas, L",THEORETICAL AND APPLIED CLIMATOLOGY,2023,10.1007/s00704-022-04308-w,WoS,9,0
13,evaluation of heat stress threshold and impacts on milk yield in dairy cattle crossbreds in a hot and humid climate,"Michael, P",THEORETICAL AND APPLIED CLIMATOLOGY,2023,10.1007/s00704-023-04549-3,WoS,9,0
14,"patterns and drivers of heavy and extreme hourly rainfall events over metro manila, philippines","Taña, EAS",THEORETICAL AND APPLIED CLIMATOLOGY,2024,10.1007/s00704-024-04899-6,WoS,9,0
15,investigating the relationship between land alteration and the urban heat island of seville city using multi-temporal landsat data,"Halder, B",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-022-04180-8,WoS,9,0
16,delineation of urban expansion and drought-prone areas using vegetation conditions and other geospatial indices,"Halder, B",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-022-04108-2,WoS,9,0
17,variability of climate-induced rice yields in northwest bangladesh using multiple statistical modeling,"Islam, AMT",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-021-03909-1,WoS,9,0
18,climate change over indonesia and its impact on nutmeg production: an analysis under high-resolution cordex-core regional simulation framework,"Anripa, N",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2023,10.1002/joc.8098,WoS,8,0
19,changes in temperature extremes and their relationship withensoin malaysia from 1985 to 2018,"Tan, ML",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2021,10.1002/joc.6864,WoS,8,1
20,future exposure of rainfall and temperature extremes to the most populous island of indonesia: a projection based on cordex simulation,"Hendrawan, VSA",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2024,10.1002/joc.8537,WoS,8,0
21,simplified equations for wet bulb globe temperature estimation in bangladesh,"Kamal, ASMM",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2024,10.1002/joc.8402,WoS,8,0
22,impact of solar geoengineering on temperatures over the indonesian maritime continent,"Kuswanto, H",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7391,WoS,8,0
23,the effect of urbanization on temperature indices in the philippines,"Manalo, JA",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7276,WoS,8,1
24,spatial and temporal characteristics of near-surface air temperature across local climate zones in a tropical city,"Roth, M",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7862,WoS,8,1
25,global pattern of short-term concurrent hot and dry extremes and its relationship to large-scale climate indices,"Zhang, HY",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2020,10.1002/joc.6555,WoS,8,1
