Title,Authors,Journal,Year,DOI,Source,Publications,Yes No,Abstract YN,Unnamed: 9
employing gridded-based dataset for heatwave assessment and future projection in peninsular malaysia,"Sa'adi, Z",THEORETICAL AND APPLIED CLIMATOLOGY,2024,10.1007/s00704-024-04946-2,WoS,9,1,1,
changes in temperature extremes and their relationship withensoin malaysia from 1985 to 2018,"Tan, ML",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2021,10.1002/joc.6864,WoS,8,1,1,
"interaction between heat wave and urban heat island: a case study in a tropical coastal city, singapore","Chew, LW",ATMOSPHERIC RESEARCH,2021,10.1016/j.atmosres.2020.105134,WoS,7,1,1,
"vulnerability of australia to heatwaves: a systematic review on influencing factors, impacts, and mitigation options","Adnan, MSG",ENVIRONMENTAL RESEARCH,2022,10.1016/j.envres.2022.113703,WoS,6,1,1,HVI
heatwaves in peninsular malaysia: a spatiotemporal analysis,"Muhammad, MKI",SCIENTIFIC REPORTS,2024,10.1038/s41598-024-53960-x,WoS,5,1,1,
analysis of heatwaves based on the universal thermal climate index and apparent temperature over mainland southeast asia,"Liu, LLJ",INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2023,10.1007/s00484-023-02562-9,WoS,4,1,1,
heatwaves in southeast asia and their changes in a warmer world,"Dong, ZZ",EARTHS FUTURE,2021,10.1029/2021EF001992,WoS,3,1,1,
heat wave trends in southeast asia: comparison of results from observation and reanalysis data,"Li, XX",GEOPHYSICAL RESEARCH LETTERS,2022,10.1029/2021GL097151,WoS,3,1,1,
extreme heat vulnerability assessment in tropical region: a case study in malaysia,"Kamal, NIA",CLIMATE AND DEVELOPMENT,2022,10.1080/17565529.2021.1937030,WoS,1,1,1,EHVI(Exrteme Heat Vulnerability Index) in Malaysia
spatio-temporal distribution of heat index and land cover change in tropical cities of southeast asia,Nucifera F.; Riasasi W.; Ichii K.,"ICOIACT 2022 - 5th International Conference on Information and Communications Technology: A New Way to Make AI Useful for Everyone in the New Normal Era, Proceeding",2022,10.1109/ICOIACT55506.2022.9972123,Scopus,1,1,1,HI and LandCover
the future extreme temperature under rcp8.5 reduces the yields of major crops in northern peninsular of southeast asia,Amnuaylojaroen T.; Parasin N.,Scientific World Journal,2022,10.1155/2022/1410849,Scopus,1,1,1,
variability of heatwaves across vietnam in recent decades,"Ly, PT",VIETNAM JOURNAL OF EARTH SCIENCES,2023,10.15625/2615-9783/19057,WoS,1,1,1,Heatwave in Vietnam
