Title,Authors,Journal,Year,DOI,Source,Publications,Yes No
the effects of maximum ambient temperature and heatwaves on dengue infections in the tropical city-state of singapore - a time series analysis,"Seah, A",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.145117,WoS,9,0
"abnormal ambient temperature change increases the risk of out-of-hospital cardiac arrest: a systematic review and meta-analysis of exposure types, risk, and vulnerable populations","Wu, QY",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2022.160554,WoS,9,1
anthropogenic climate change exacerbates the risk of successive flood-heat extremes: multi-model global projections based on the inter-sectoral impact model intercomparison project,"Zhou, J",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2023.164274,WoS,9,0
"immediate and delayed effects of a heatwave and<i> prorocentrum</i><i> lima</i> ((ehrenberg) stein 1878) bloom on the toxin accumulation, physiology, and survival of the oyster<i> magallana</i><i> gigas</i> (thunberg, 1793)","Funesto, EGM",SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2023.164485,WoS,9,0
"perceptions of heat-health impacts and the effects of knowledge and preventive actions by outdoor workers in hanoi, vietnam","Lohrey, S",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.148260,WoS,9,0
environmental heat-related health symptoms among community in a tropical city,"Aghamohammadi, N",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.146611,WoS,9,0
geographical disparities in the impacts of heat on diabetes mortality and the protective role of greenness in thailand: a nationwide case-crossover analysis,"He, YL",SCIENCE OF THE TOTAL ENVIRONMENT,2020,10.1016/j.scitotenv.2019.135098,WoS,9,0
evidence of alliesthesia during a neighborhood thermal walk in a hot and dry city,"Dzyuban, Y",SCIENCE OF THE TOTAL ENVIRONMENT,2022,10.1016/j.scitotenv.2022.155294,WoS,9,0
environmental impacts and greenhouse gas emissions assessment for energy recovery and material recycle of the wastewater treatment plant,"Nguyen, TKL",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.147135,WoS,9,0
employing gridded-based dataset for heatwave assessment and future projection in peninsular malaysia,"Sa'adi, Z",THEORETICAL AND APPLIED CLIMATOLOGY,2024,10.1007/s00704-024-04946-2,WoS,9,1
appraising the historical and projected spatiotemporal changes in the heat index in bangladesh,"Rahman, MB",THEORETICAL AND APPLIED CLIMATOLOGY,2021,10.1007/s00704-021-03705-x,WoS,9,0
spatiotemporal trends of temperature extremes in bangladesh under changing climate using multi-statistical techniques,"Mallick, J",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-021-03828-1,WoS,9,0
the unsung role of sst in simulating mesoscale events: an evaluation of august 2018 extreme rainfall over kerala using wrf model,"Thomas, L",THEORETICAL AND APPLIED CLIMATOLOGY,2023,10.1007/s00704-022-04308-w,WoS,9,0
evaluation of heat stress threshold and impacts on milk yield in dairy cattle crossbreds in a hot and humid climate,"Michael, P",THEORETICAL AND APPLIED CLIMATOLOGY,2023,10.1007/s00704-023-04549-3,WoS,9,0
"patterns and drivers of heavy and extreme hourly rainfall events over metro manila, philippines","Taña, EAS",THEORETICAL AND APPLIED CLIMATOLOGY,2024,10.1007/s00704-024-04899-6,WoS,9,0
investigating the relationship between land alteration and the urban heat island of seville city using multi-temporal landsat data,"Halder, B",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-022-04180-8,WoS,9,0
delineation of urban expansion and drought-prone areas using vegetation conditions and other geospatial indices,"Halder, B",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-022-04108-2,WoS,9,0
variability of climate-induced rice yields in northwest bangladesh using multiple statistical modeling,"Islam, AMT",THEORETICAL AND APPLIED CLIMATOLOGY,2022,10.1007/s00704-021-03909-1,WoS,9,0
climate change over indonesia and its impact on nutmeg production: an analysis under high-resolution cordex-core regional simulation framework,"Anripa, N",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2023,10.1002/joc.8098,WoS,8,0
changes in temperature extremes and their relationship withensoin malaysia from 1985 to 2018,"Tan, ML",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2021,10.1002/joc.6864,WoS,8,1
future exposure of rainfall and temperature extremes to the most populous island of indonesia: a projection based on cordex simulation,"Hendrawan, VSA",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2024,10.1002/joc.8537,WoS,8,0
simplified equations for wet bulb globe temperature estimation in bangladesh,"Kamal, ASMM",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2024,10.1002/joc.8402,WoS,8,0
impact of solar geoengineering on temperatures over the indonesian maritime continent,"Kuswanto, H",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7391,WoS,8,0
the effect of urbanization on temperature indices in the philippines,"Manalo, JA",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7276,WoS,8,1
spatial and temporal characteristics of near-surface air temperature across local climate zones in a tropical city,"Roth, M",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2022,10.1002/joc.7862,WoS,8,1
global pattern of short-term concurrent hot and dry extremes and its relationship to large-scale climate indices,"Zhang, HY",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2020,10.1002/joc.6555,WoS,8,1
valuation of a heatwave early warning system for mitigating risks associated with heat-related illness in central vietnam,"Kien, ND",SUSTAINABILITY,2023,10.3390/su152115342,WoS,8,1
sensitivity of photosynthesis to warming in two similar species of the aquatic angiosperm <i>ruppia</i> from tropical and temperate habitats,"Rasmusson, LM",SUSTAINABILITY,2021,10.3390/su13169433,WoS,8,0
"spatial planning and systems thinking tools for climate risk reduction: a case study of the andaman coast, thailand","McMillan, JM",SUSTAINABILITY,2022,10.3390/su14138022,WoS,8,0
changes in concurrent meteorological extremes of rainfall and heat under divergent climatic trajectories in the guangdong-hong kong-macao greater bay area,"Wang, M",SUSTAINABILITY,2024,10.3390/su16052153,WoS,8,0
applications of models and tools for mesoscale and microscale thermal analysis in mid-latitude climate regions-a review,"Lobaccaro, G",SUSTAINABILITY,2021,10.3390/su132212385,WoS,8,0
synthesizing multi-layer perceptron network with ant lion biogeography-based dragonfly algorithm evolutionary strategy invasive weed and league champion optimization hybrid algorithms in predicting heating load in residential buildings,"Moayedi, H",SUSTAINABILITY,2021,10.3390/su13063198,WoS,8,0
a comparative study of cooling performance and thermal comfort under street market shades and tree canopies in tropical savanna climate,"Jareemit, D",SUSTAINABILITY,2022,10.3390/su14084653,WoS,8,0
changing urban temperature and rainfall patterns in jakarta: a comprehensive historical analysis,"Maheng, D",SUSTAINABILITY,2024,10.3390/su16010350,WoS,8,0
"compound climate extremes in china: trends, causes, and projections","Yu, YF",ATMOSPHERIC RESEARCH,2023,10.1016/j.atmosres.2023.106675,WoS,7,0
spatiotemporal changes in universal thermal climate index in the middle east and north africa,"Hamed, MM",ATMOSPHERIC RESEARCH,2023,10.1016/j.atmosres.2023.107008,WoS,7,0
urbanization-induced changes in extreme climate indices in thailand during 1970-2019,"Pimonsree, S",ATMOSPHERIC RESEARCH,2022,10.1016/j.atmosres.2021.105882,WoS,7,0
assessing exposure to climate extremes over the arabian peninsula using era5 reanalysis data: spatial distribution and temporal trends,"Al-Sakkaf, AS",ATMOSPHERIC RESEARCH,2024,10.1016/j.atmosres.2024.107224,WoS,7,0
"interaction between heat wave and urban heat island: a case study in a tropical coastal city, singapore","Chew, LW",ATMOSPHERIC RESEARCH,2021,10.1016/j.atmosres.2020.105134,WoS,7,1
probing into the radiative mechanisms and drivers influencing urban heat-cold islands and urban pollution islands during heavy-haze events in a cold megacity of northeast china,"Yabo, SD",ATMOSPHERIC RESEARCH,2024,10.1016/j.atmosres.2024.107259,WoS,7,0
